Datum;Werte
09.07.2017;2511429932
16.07.2017;1914089966
23.07.2017;2756610107
30.07.2017;2766489990
06.08.2017;3232030029
13.08.2017;4062600098
20.08.2017;4066600098
27.08.2017;4345750000
03.09.2017;4612919922
10.09.2017;4245890137
17.09.2017;3689610107
24.09.2017;3667520020
01.10.2017;4403089844
08.10.2017;4611700195
15.10.2017;5677350098
22.10.2017;5982859863
30.10.2017;6147700195
06.11.2017;7389549805
13.11.2017;5878089844
20.11.2017;8042640137
27.11.2017;9318419922
04.12.2017;11244200195
11.12.2017;15060450195
18.12.2017;19065710938
25.12.2017;13789950195
01.01.2018;13850490234
08.01.2018;16228259766
15.01.2018;13638629883
22.01.2018;11549980469
29.01.2018;11767740234
05.02.2018;8218049805
12.02.2018;8084609863
19.02.2018;10418120117
26.02.2018;9610110352
05.03.2018;11503940430
12.03.2018;9543980469
19.03.2018;8215500000
25.03.2018;8472559570
01.04.2018;6835580078
08.04.2018;7049919922
15.04.2018;8376730469
22.04.2018;8823459961
29.04.2018;9407349609
06.05.2018;9643990234
13.05.2018;8709459961
20.05.2018;8533219727
27.05.2018;7362229980
03.06.2018;7719729980
10.06.2018;6773720215
17.06.2018;6457779785
24.06.2018;6157779785
01.07.2018;6342689941
08.07.2018;6707459961
15.07.2018;6364259766
22.07.2018;7398640137
29.07.2018;8216700195
05.08.2018;7042569824
12.08.2018;6322410156
19.08.2018;6502240234
26.08.2018;6720600098
02.09.2018;7301250000
09.09.2018;6249069824
16.09.2018;6502439941
23.09.2018;6702729980
30.09.2018;6623819824
07.10.2018;6601459961
14.10.2018;6277729980
21.10.2018;6509870117
29.10.2018;6470740234
05.11.2018;6467049805
12.11.2018;6408180176
19.11.2018;5615259766
26.11.2018;4004459961
03.12.2018;4143859863
10.12.2018;3592840088
17.12.2018;3255370117
24.12.2018;4007629883
31.12.2018;3896209961
07.01.2019;4102850098
14.01.2019;3551239990
21.01.2019;3567729980
28.01.2019;3565080078
04.02.2019;3449620117
11.02.2019;3685139893
18.02.2019;3670919922
25.02.2019;3771620117
04.03.2019;3812310059
11.03.2019;3929840088
18.03.2019;3998000000
25.03.2019;3994110107
31.03.2019;4112689941
07.04.2019;5201160156
14.04.2019;5165589844
21.04.2019;5305740234
28.04.2019;5272450195
05.05.2019;5794140137
12.05.2019;6977629883
19.05.2019;8193139648
26.05.2019;8726230469
02.06.2019;8737910156
